Occupancy Name,Address,NFF GPM,Flow Available,OVAP Score
Aspen Bluffs Apartments,2629 N Lavalle CT,1372,Insufficient,30.33
,"Peoria, IL 61604",,,
Aspen Bluffs Apartments,2604 N Lavalle CT,1372,Insufficient,30.33
,"Peoria, IL 61604",,,
Aspen Bluffs Apartments,2626 N Lavalle CT,1372,Insufficient,30.33
,"Peoria, IL 61604",,,
Associated Bank,2311 W Pioneer PKY,0,Insufficient,0
,"Peoria, IL 61615",,,
Associated Bank,2311 W Pioneer PKY,342,Sufficient,20.66
,"Peoria, IL 61615",,,
Associated Family Dental,3100 N Dries LN,0,Insufficient,0
,#301,,,
,"Peoria, IL 61604",,,
AT&T,5012 N Big Hollow RD,982,Sufficient,36.06
,"Peoria, IL 61614",,,
ATS Boost Mobile,516 Spring ST,547,Sufficient,29.09
,"Peoria, IL 61603",,,
Auntie Anne's,2200 W War Memorial DR,221,Sufficient,28.36
,#DU14B,,,
,"Peoria, IL 61613",,,
Aurelio's Pizza,3821 N Sterling AVE,1506,Sufficient,35.2
,"Peoria, IL 61604",,,
AV Performance Innovations,6523 N Galena RD,382,Sufficient,27.87
,"Peoria, IL 61614",,,
Avanti's Ristorante,8517 N Knoxville AVE,820,Sufficient,27.74
,"Peoria, IL 61603",,,
Azteca Mexican Restaurant,319 Main ST,1065,Sufficient,39.6
,"Peoria, IL 61602",,,
B'Nai B'Rith Covenant,215 W Sam J Stone AVE,3765,Insufficient,36.78
,"Peoria, IL 61605",,,
Back Store,2200 W War Memorial DR,549,Sufficient,30.56
,#B107B,,,
,"Peoria, IL 61613",,,
Barbershop,1100 SW Jefferson AVE,342,Sufficient,27.01
,"Peoria, IL 61605",,,
Barnabas Center,1821 N Knoxville AVE,1479,Sufficient,33.61
,"Peoria, IL 61603",,,
Barry's Barber Shop,615 W Glen AVE,0,Insufficient,0
,"Peoria, IL 61614",,,
Basket Case,610 W Main ST,624,Sufficient,33
,"Peoria, IL 61606",,,
Baskin Robins,4125 N Sheridan RD,312,Sufficient,26.52
,#4,,,
,Building #4,,,
,"Peoria, IL 61614",,,
Bathroom's Plus,7024 N University,1010,Insufficient,39.07
,"Peoria, IL 61614",,,
Baymont Inn & Suites,2002 W War Memorial DR,2848,Insufficient,34.96
,"Peoria, IL 61614",,,
BDI Industrial Supply,613 W lake AVE,900,Sufficient,31.29
,"peoria, IL 61614",,,
Bearded Owl Brewing,112 State ST,636,Sufficient,34.96
,#A,,,
,"Peoria, IL 61602",,,
Beer 30,2422 N Knoxville AVE,831,Sufficient,36.3
,"Peoria, IL 61603",,,
Behr Iron & Metal,2424 W Clark ST,606,Sufficient,22
,"Peoria, IL 61605",,,
Benningfield and Associates,1524 W Glen AVE,1338,Insufficient,0
,"Peoria, IL 61614",,,
Benson's Automotive,2453 N Knoxville AVE,602,Sufficient,26.4
,"Peoria, IL 61603",,,
Bensons-Maytag,4510 N Brandywine DR,1905,Sufficient,31.66
,"Peoria, IL 61614",,,
Berlin,627 Main ST,805,Sufficient,31.29
,"Peoria, IL 61602",,,
"Biaggi""s",2601 W Lake AVE,558,Sufficient,28.6
,"Peoria, IL 61614",,,
Big Al's Speak Easy,400 SW Jefferson AVE,1972,Sufficient,27.5
,"Peoria, IL 61605",,,
Big Hollow Convenient,6023 N Big Hollow RD,1138,Insufficient,31.9
,"Peoria, IL 61614",,,
Big Lots,3013 N Sterling,1273,Insufficient,31.53
,"Peoria, IL 61604",,,
Big Top TAT2,1009 N Sheridan RD,1097,Sufficient,26.33
,"Peoria, IL 61614",,,
Blondies,619 W Main ST,889,Sufficient,34.1
,"Peoria, IL 61606",,,
Blue Margarita's Mexican Bar & Grill,9010 N Allen RD,1221,Sufficient,36.3
,"Peoria, IL 61615",,,
Bob Lindsay Acura,7500 N Allen RD,587,Sufficient,25.3
,"Peoria, IL 61614",,,
Bogies Bar & Grill,3000 N Sterling AVE,2561,Insufficient,40.7
,"Peoria, IL 61604",,,
Boost Mobile,2200 W War Memorial DR,236,Sufficient,29.46
,#DU17C,,,
,"Peoria, IL 61613",,,
Bradford Woods,6900 N Summershade CIR,739,Sufficient,30.33
,Building #Club House,,,
,"Peoria, IL 61615",,,
Bradford Woods,6800 N Summershade CIR,2191,Insufficient,29.67
,"Peoria, IL 61615",,,
Bradford Woods,6700 N Summershade CIR,2191,Insufficient,30.33
,"Peoria, IL 61615",,,
Bradford Woods,6710 N Summershade CIR,2082,Insufficient,29.33
,"Peoria, IL 61615",,,
Bradford Woods,6720 N Summershade CIR,2191,Insufficient,30.33
,"Peoria, IL 61615",,,
Bradford Woods,6730 N Summershade CIR,2191,Insufficient,30.33
,"Peoria, IL 61615",,,
Bradford Woods,5000 W Bradford Woods CIR,2191,Insufficient,30.33
,"Peoria, IL 61615",,,
Bradford Woods,5100 W Bradford Woods CIR,2191,Insufficient,30.33
,"Peoria, IL 61615",,,
Bradford Woods,5020 W Bradford Woods CIR,2191,Insufficient,30.33
,"Peoria, IL 61615",,,
Bradford Woods,5010 W Bradford Woods CIR,2191,Insufficient,30.33
,"Peoria, IL 61615",,,
BRANDED COUNTRY WEAR,4923 N SHERIDAN,717,Sufficient,24.08
,"PEORIA, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.78
,Building #1,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,29.55
,Building #2,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #3,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #4,,,
,"Peoria, IL 61614",,,
Brandywine Crossing,4010 N Brandywine DR,3818,Insufficient,28.55
,Building #5,,,
,"Peoria, IL 61614",,,
