Occupancy Name,Address,NFF GPM,Flow Available,OVAP Score
Econo Lodge,4244 N Brandywine DR,2396,Insufficient,33.86
,"Peoria, IL 61614",,,
Edge,5832 N Knoxville AVE,1257,Insufficient,37.4
,#K,,,
,"Peoria, IL 61614",,,
El Vista Baptist School,6301 N Syler ST,4677,Insufficient,36.06
,"Peoria, IL 61615",,,
Elevate Trampoline,8800 N Allen RD,1147,Sufficient,35.81
,"Peoria, IL 61615",,,
Elizabeth Street Apartments,414 W Elizabeth ST,5051,Insufficient,33
,"Peoria, IL 61606",,,
Elks Lodge #483,1101 SW Jefferson AVE,2002,Sufficient,27.5
,"Peoria, IL 61605",,,
Elliotts,7807 N University ST,1323,Sufficient,33
,"Peoria, IL 61614",,,
Els Lodge #20,1 Elks DR,2489,Sufficient,31.41
,"Peoria, IL 61604",,,
Enchanted Florist,5001 W American Prairie DR,464,Insufficient,25.06
,"Peoria, IL 61615",,,
Environmental control solutions,201 Spring ST,636,Sufficient,19.43
,"Peoria, IL 61603",,,
Envision Insurance,7150 N University ST,986,Sufficient,32.76
,"Peoria, IL 61614",,,
Epic,6116 N Frostwood PKY,0,Insufficient,26.89
,"Peoria, IL 61615",,,
Evergreen Shopping Center,801 W Lake AVE,0,Insufficient,0
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,1496,Insufficient,34.1
,Building #Ameren Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,2119,Insufficient,41.8
,Building #F S Shelter,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,810,Sufficient,31.9
,Building #Bathroom Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,1231,Insufficient,35.2
,Building #Labor Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,722,Sufficient,29.7
,Building #Maintenance Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,1916,Insufficient,45.71
,Building #Dog House Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,2091,Insufficient,44
,Building #Phoptgraphy Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,1915,Insufficient,45.71
,Building #Floriculture,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,2091,Insufficient,46.2
,Building #Food/Textiles Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,4867,Insufficient,33.61
,Building #Main Show Area,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,3294,Insufficient,46.2
,Building #Dairy Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,3294,Insufficient,46.2
,Building #Livestock Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,2091,Insufficient,46.2
,Building #Ag Pavilion,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,3019,Insufficient,30.31
,Building #Opera House,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,2091,Insufficient,44
,Building #Hobbies Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,3294,Insufficient,46.2
,Building #Beef/Dairy Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,3294,Insufficient,46.2
,Building #Beef Building,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,3294,Insufficient,46.2
,Building #Sheep/Swine Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,2091,Insufficient,45.1
,Building #Swine Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,1915,Insufficient,45.71
,Building #Youth Bldg,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,0,Insufficient,0
,Building #Grounds,,,
,"Peoria, IL 61614",,,
Exposition Gardens,1601 W Northmoor RD,27,Sufficient,33.61
,"Peoria, IL 61614",,,
Express,2200 W War Memorial DR,603,Sufficient,30.31
,#FL15B,,,
,"Peoria, IL 61613",,,
Extended Stay America,4306 N Brandywine DR,3154,Sufficient,34.1
,"Peoria, IL 61614",,,
Eyeglass World,4530 N Brandywine DR,1185,Insufficient,34.95
,"Peoria, IL 61614",,,
F & M Bank,4900 N Glen Park PL,1072,Sufficient,34.96
,#A,,,
,"Peoria, IL 61614",,,
F&M Building Only (Master ),4900 N Glen Park PL,1010,Sufficient,34.83
,"Peoria, IL 61614",,,
Familia Dental,1403 W Glen AVE,0,Insufficient,0
,"Peoria, IL 61614",,,
Family Core,330 SW Washington ST,1576,Sufficient,29.33
,"Peoria, IL 61602",,,
Family Dollar,330 N western AVE,2070,Insufficient,37.03
,"peoria, IL 61606",,,
Family Dollar,820 NE Jefferson AVE,1610,Sufficient,32.76
,"Peoria, IL 61603",,,
Family Quick Care LLC,9031 N Allen RD,335,Sufficient,26.93
,"Peoria, IL 61615",,,
Family Video,708 W Glen,865,Sufficient,23.71
,"Peoria, IL 61614",,,
Famous City Bistro,629 W Glen AVE,900,Sufficient,34.1
,"Peoria, IL 61614",,,
Famous Dave's,7411 N Grand Prairie DR,1755,Insufficient,30.8
,"Peoria, IL 61615",,,
Famous Wok,2200 W War Memorial DR,281,Sufficient,31.66
,#CUO6D,,,
,"Peoria, IL 61613",,,
Fanny Mae,4203 N Sheridan AVE,764,Sufficient,31.53
,#A1-5,,,
,"Peoria, IL 61604",,,
Farmers Insurance,3105 N Prospect RD,764,Insufficient,28.72
,"Peoria, IL 61603",,,
Fastenal Corporation,910 SW Jefferson AVE,865,Insufficient,22.73
,"Peoria, IL 61602",,,
Finish Line,2200 W War Memorial DR,681,Sufficient,32.76
,#D104,,,
,"Peoria, IL 61613",,,
Fish House,4919 N University ST,2091,Insufficient,33
,"Peoria, IL 61614",,,
Fitness For All,5015 W American Prairie DR,281,Sufficient,22.61
,"Peoria, IL 61615",,,
Five Senses Spa and Salon,5035 W American Prairie DR,764,Sufficient,29.94
,"Peoria, IL 61615",,,
Flat Top Grill,5201 W War Memorial DR,509,Sufficient,29.7
,#120,,,
,"Peoria, IL 61615",,,
Fleet Pride Truck and Trailer,2616 SW Jefferson AVE,2160,Insufficient,32.39
,"Peoria, IL 61605",,,
Forrest Hill Liquors,2009 W Forrest Hill AVE,1207,Sufficient,36.3
,"Peoria, IL 61604",,,
Fortner Insurance Agency,3304 N Prospect RD,900,Sufficient,33.86
,"Peoria, IL 61603",,,
"Foster-Jacobs, INC.",826 W MAIN ST,882,Sufficient,26.15
,"Peoria, IL 61606",,,
Frames Plus,4100 W Willow Knolls DR,164,Sufficient,23.47
,#a4,,,
,"Peoria, IL 61615",,,
Franklin Primary School,807 W Columbia TER,1905,Sufficient,32.63
,"Peoria, IL 61606",,,
Freedom Mobile,4410 N Knoxville,986,Sufficient,34.47
,#A,,,
,"Peoria, IL 61614",,,
Frendly Valley,3708 N Meadowbrook,1046,Insufficient,33
,"Peoria, IL 61614",,,
Fresenius Medical,410 W Romeo B Garrett AVE,900,Sufficient,22.86
,"Peoria, IL 61605",,,
Friar Tuck Beverage,1401 W Glen AVE,1065,Sufficient,31.9
,"Peoria, IL 61614",,,
Friendship House,816 NE Madison AVE,628,Sufficient,25.91
,"Peoria, IL 61603",,,
Fringe,4408 N Knoxville AVE,929,Insufficient,36.3
,"Peoria, IL 61614",,,
Furniture Max,4100 W Willow Knolls DR,1697,Insufficient,0
,#C1,,,
,"Peoria, IL 61615",,,
FYE,2200 W War Memorial DR,470,Sufficient,31.66
,#D105,,,
,"Peoria, IL 61613",,,
Gailey Eye Clinic,4927 N Glen Park PL,1148,Sufficient,25.42
,"Peoria, IL 61614",,,
Game Stop,9031 N Allen RD,335,Sufficient,24.69
,"Peoria, IL 61615",,,
Gamestop,2200 W War Memorial DR,301,Sufficient,30.56
,#A108,,,
,"Peoria, IL 61613",,,
Gamma Phi Beta,1414 W Fredonia AVE,1411,Insufficient,25.33
,"Peoria, IL 61606",,,
Garden Gate Tap,1313 W Garden ST,697,Sufficient,40.33
,"Peoria, IL 61605",,,
"Garden Street Cafe""",1317 W Garden ST,636,Sufficient,35.2
,"Peoria, IL 61605",,,
Garfield School,1507 S Lydia AVE,3630,Insufficient,30.19
,"Peoria, IL 61605",,,
General Downing Home for Veterans,403 Olive ST,1418,Sufficient,26.33
,"Peoria, IL 61605",,,
GENERAL PUMP & MACHINERY,1044 W Olympia DR,1138,Insufficient,0
,"Peoria, IL 61615",,,
Get-er-done financial,840 Main ST,0,Insufficient,0
,"Peoria, IL 61602",,,
Getz Pressure Washing,1440 SW Jefferson AVE,0,Insufficient,0
,"Peoria, IL 61605",,,
Ghantous Law Office,3100 N Dries LN,0,Insufficient,0
,"Peoria, IL 61604",,,
Girl Scouts Of Central IL,1103 W Lake AVE,1138,Sufficient,27.99
,"Peoria, IL 61614",,,
Glen Hills Professional Building,2015 W Glen,3666,Insufficient,29.33
,"Peoria, IL 61614",,,
Glen Oak School,2100 N Wisconsin AVE,2130,Insufficient,31.53
,"Peoria, IL 61603",,,
Glen Oak Towers,926 Main ST,5324,Insufficient,32.89
,"Peoria, IL 61602",,,
Gloria Jeans Coffee,2200 W War Memorial DR,230,Sufficient,29.46
,#AU10,,,
,"Peoria, IL 61613",,,
GNC,2200 W War Memorial DR,276,Sufficient,28.36
,#DU01,,,
,"Peoria, IL 61613",,,
GNC,4125 N Sheridan AVE,255,Sufficient,27.13
,#11,,,
,"peoria, IL 61614",,,
Goldfine and Bowles,4242 N Knoxville AVE,1025,Sufficient,24.93
,"Peoria, IL 61603",,,
Golfview Apartments,2331 W Dr Martin Luther King Jr DR,5051,Insufficient,30.33
,"Peoria, IL 61605",,,
Golfview Apartments,2317 W Dr Martin Luther King Jr DR,4269,Insufficient,28.33
,"Peoria, IL 61605",,,
GOMP Executive Offices Unity Point Methodist,120 NE Glen Oak AVE,2788,Insufficient,31.17
,"Peoria, IL 61603",,,
Good Tequilas Mexican Bar & Grill,5025 W American Prairie DR,697,Sufficient,33
,"Peoria, IL 61615",,,
Gorenz and Associates,"Peoria, IL 61614",2767,Insufficient,32.27
GPS TV,1821 N Knoxville AVE,895,Sufficient,36.91
,#B,,,
,"Peoria, IL 61603",,,
Grandpa John's Rib SHack,2328 W Willow Knolls DR,734,Sufficient,27.01
,"Peoria, IL 61615",,,
Great Clips,10405 N Centerway ST,214,Sufficient,30.92
,#A,,,
,"Peoria, IL 61615",,,
Greater Peoria Sanitary District,2322 S Darst ST,1148,Insufficient,30.48
,"Peoria, IL 61605",,,
Greeley School,919 NE Jefferson AVE,2686,Sufficient,27.13
,"Peoria, IL 61603",,,
Greenhut Memorial GAR Hall,416 Hamilton BLVD,1467,Sufficient,48.53
,"Peoria, IL 61602",,,
Griswold Food & Liquor,1814 S Griswold ST,1708,Sufficient,31.9
,"Peoria, IL 61605",,,
Grove Apartments,1526 W Candletree DR,2632,Insufficient,32.76
,Building #Office,,,
,"Peoria, IL 61614",,,
Grove Apartments,1518 W Candletree DR,3019,Insufficient,32
,"Peoria, IL 61614",,,
Grove Apartments,1417 W Candletree DR,3019,Insufficient,31
,"Peoria, IL 61614",,,
Grove Apartments,1512 W Candletree DR,3019,Insufficient,31
,"Peoria, IL 61614",,,
Grove Apartments,1506 W Candletree DR,3019,Insufficient,31
,"Peoria, IL 61614",,,
Grove Apartments,1500 W Candletree DR,3019,Insufficient,31
,"Peoria, IL 61614",,,
Grove Apartments,1425 W Candletree DR,3019,Insufficient,31
,"Peoria, IL 61614",,,
Grove Apartments,1421 W Candletree DR,2845,Insufficient,31
,"Peoria, IL 61614",,,
Grove Apartments,1602 W Candletree DR,2845,Insufficient,31
,"Peoria, IL 61614",,,
Grove Apartments,1614 W Candletree DR,2845,Insufficient,34.1
,"Peoria, IL 61614",,,
Grove Apartments,1622 W Candletree DR,2845,Insufficient,32.33
,"Peoria, IL 61614",,,
Grove Apartments,1700 W Candletree DR,2845,Insufficient,31
,"Peoria, IL 61614",,,
Grove Apartments,1731 W Viking CT,3019,Insufficient,31
,"Peoria, IL 61615",,,
Grove Apartments,1603 W Viking CT,3019,Insufficient,32
,"Peoria, IL 61615",,,
Grove Apartments,1617 W Viking CT,3019,Insufficient,31
,"Peoria, IL 61615",,,
Grove Apartments,1609 W Viking CT,3019,Insufficient,31
,"Peoria, IL 61615",,,
Grove Apartments,1707 W Viking CT,3019,Insufficient,32
,"Peoria, IL 61615",,,
gucci pucci,3309 N prospect RD,382,Sufficient,31.04
,"peoria, IL 61603",,,
Guitar Center,2601 W Lake AVE,734,Sufficient,33.86
,"Peoria, IL 61614",,,
GYPSY LANE RETRO SALOON,1020 W MAIN ST,507,Sufficient,33
,#TATOO,,,
,"PEORIA, IL 61606",,,
Hacienda El Mirador,5805 N Humboldt AVE,573,Sufficient,35.2
,#1,,,
,"Peoria, IL 61614",,,
Haddad's Restaurant,1010 W main ST,265,Sufficient,33.73
,"peoria, IL 61606",,,
Haddads,7805 N University ST,0,Insufficient,0
,"Peoria, IL 61614",,,
Hagerty Industrial Tool Showroom,933 SW Washington ST,0,Insufficient,0
,"Peoria, IL 61605",,,
Hampton Inn & Suites,7806 N State Route 91,1799,Sufficient,29.7
,"Peoria, IL 61615",,,
Hanger Clinic,311 W Romeo B Garrett AVE,900,Sufficient,20.9
,"Peoria, IL 61605",,,
Hardees,3505 NE adams,726,Sufficient,29.21
,"peoria, IL 61603",,,
Harrison Homes,2610 W Krause,875,Sufficient,26.77
,"Peoria, IL 61605",,,
Harrison School,2727 W Krause AVE,1342,Sufficient,30.43
,"Peoria, IL 61605",,,
Harvest Cafe,5901 N Prospect RD,1181,Insufficient,0
,#5A,,,
,"Peoria, IL 61614",,,
Hawthorn Inn,6906 N Stalworth DR,1210,Sufficient,31.47
,"Peoria, IL 61615",,,
Headz Up Barber Shop,2441 N Knoxville AVE,249,Sufficient,28.6
,"Peoria, IL 61603",,,
Hearth and Patio,8304 N University ST,472,Sufficient,29.21
,"Peoria, IL 61614",,,
Heartland,5600 N Glen Elm DR,0,Insufficient,0
,"Peoria, IL 61614",,,
Heartland Health Center,711 W John H Gwynn Jr AVE,935,Sufficient,28.36
,"Peoria, IL 61605",,,
Heartland Parking Inc.,128 NE Madison AVE,290,Sufficient,28.6
,"Peoria, IL 61603",,,
Heartland Vision,2524 W Farrelly AVE,844,Sufficient,31.78
,"Peoria, IL 61615",,,
Heartlands,607 N Hightower ST,3765,Insufficient,33.22
,"Peoria, IL 61605",,,
Help at Home Group Care,5421 N Nottingham PL,1350,Sufficient,26.22
,"Peoria, IL 61614",,,
Helzberg Diamonds,2200 W War Memorial DR,294,Sufficient,29.58
,#CU11B,,,
,"Peoria, IL 61613",,,
Heyde Eye Center,400 NE Saint Marks CT,986,Sufficient,33.86
,"Peoria, IL 61603",,,
Hickory Grove Elementary School,2514 W Hickory Grove RD,2249,Insufficient,29.6
,"Dunlap, IL 61525",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,27.33
,Building #Building 1,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,27.33
,Building #Building 2,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,28.55
,Building #Building 3,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,27.33
,Building #Building 4,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,28.55
,Building #Building 5,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,28.55
,Building #Building 6,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,27.33
,Building #Building 7,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,28.55
,Building #Building 8,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,27.33
,Building #Building 9,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,28.55
,Building #Building 10,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,27.33
,Building #Building 11,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,27.33
,Building #Building 12,,,
,"Peoria, IL 61614",,,
Hickory Ridge Apartments,7150 N Terra Vista DR,2475,Insufficient,27.33
,Building #13,,,
,"Peoria, IL 61614",,,
Hickory River Smokehouse,5101 W Holiday DR,1138,Insufficient,25.3
,"Peoria, IL 61615",,,
Hidden Oak Apartments,3602 N Kingston DR,2846,Insufficient,32.33
,Building #1,,,
,"Peoria, IL 61604",,,
Hidden Oak Apartments,3602 N Kingston DR,1427,Insufficient,32.33
,Building #2,,,
,"Peoria, IL 61604",,,
Hidden Oak Apartments,3602 N Kingston DR,952,Sufficient,28.33
,Building #3,,,
,"Peoria, IL 61604",,,
Hidden Oak Apartments,3602 N Kingston DR,946,Sufficient,28.33
,Building #4,,,
,"Peoria, IL 61604",,,
Hidden Oak Apartments,3601 N Kingston DR,952,Sufficient,28.33
,"Peoria, IL 61604",,,
Hillel House,1532 W Fredonia AVE,676,Sufficient,20.33
,"Peoria, IL 61606",,,
Hines Primary School,4603 N Knoxville AVE,2683,Insufficient,32.63
,"Peoria, IL 61603",,,
Hokkaido,3311 N University ST,1622,Sufficient,34.71
,"Peoria, IL 61614",,,
Holiday Inn & Suites,7601 N Orange Prairie RD,1960,Sufficient,30.56
,"Peoria, IL 61615",,,
Hollister,2200 W War Memorial DR,568,Sufficient,31.66
,#BU 06A,,,
,"Peoria, IL 61613",,,
Hollow Creek Apartments,6625 N Big Hollow RD,3118,Insufficient,29.33
,Building #400,,,
,"Peoria, IL 61614",,,
Hollow Creek Apartments,6625 N Big Hollow RD,3118,Insufficient,29.33
,Building #200,,,
,"Peoria, IL 61614",,,
Hollow Creek Apartments,6625 N Big Hollow RD,3118,Insufficient,29.33
,Building #300,,,
,"Peoria, IL 61614",,,
Hollow Creek Apartments,4019 W Hollow Creek DR,2205,Insufficient,23.33
,Building #Office,,,
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4019 W Hollow Creek DR,2205,Insufficient,26.4
,Building #Pool House,,,
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4014 W Hollow Creek DR,3118,Insufficient,30.33
,Building #500,,,
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4024 W Hollow Creek DR,3118,Insufficient,31.66
,Building #600,,,
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4050 W Hollow Creek DR,3118,Insufficient,29.33
,Building #700,,,
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4056 W Hollow Creek DR,3118,Insufficient,29.33
,Building #800,,,
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4130 W Hollow Creek DR,3118,Insufficient,29.33
,Building #1000,,,
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4126 W Hollow Creek DR,3118,Insufficient,29.33
,Building #900,,,
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4209 W Hollow Creek DR,2546,Insufficient,28.33
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4105 W Hollow Creek DR,1273,Insufficient,28.33
,"Peoria, IL 61615",,,
Hollow Creek Apartments,4043 W Hollow Creek DR,1273,Insufficient,28.33
,"Peoria, IL 61615",,,
Hollow Creek Apartments,6625 N Big Hollow RD,3118,Insufficient,29.33
,"Peoria, IL 61614",,,
Holman & Dailey Attorney,124 NE Madison AVE,389,Sufficient,28.97
,"Peoria, IL 61603",,,
Holmes Shoes,4700 N University ST,854,Insufficient,30.68
,#7&8,,,
,Building #7&8,,,
,"Peoria, IL 61614",,,
Holy Family Church,3720 N Sterling AVE,955,Insufficient,29.58
,"Peoria, IL 61604",,,
Holy Family School,2329 W Reservoir BLVD,2471,Insufficient,30.8
,"Peoria, IL 61615",,,
Home Depot,5026 W Holiday DR,2789,Insufficient,28.36
,"Peoria, IL 61615",,,
Hoops Pub and Pizza,516 Main ST,493,Sufficient,31.9
,"Peoria, IL 61602",,,
Hooters,418 SW Water ST,450,Sufficient,25.3
,"Peoria, IL 61603",,,
Hoover Properties,825 SW Adams ST,1102,Sufficient,34.96
,"Peoria, IL 61605",,,
Hoover Storage (LaHood Equipment),819 SW Adams ST,805,Sufficient,30.8
,"Peoria, IL 61605",,,
Hoover Storage (LaHood Equipment),813 SW Adams ST,805,Sufficient,30.8
,"Peoria, IL 61605",,,
Hot Topic,2200 W War Memorial DR,327,Sufficient,30.56
,#DU130,,,
,"Peoria, IL 61613",,,
Huck's #249,7225 N Allen RD,1358,Sufficient,38.5
,"Peoria, IL 61615",,,
Huck's #260,3819 E War Memorial DR,1800,Sufficient,39.6
,"Peoria, IL 61614",,,
Huck's #358,1415 W Alta RD,2012,Sufficient,38.5
,"Peoria, IL 61615",,,
Human Service Center,1005 NE Jefferson AVE,1207,Sufficient,26
,"Peoria, IL 61603",,,
Human Service Center,130 Richard Pryor PL,636,Sufficient,24.44
,"Peoria, IL 61605",,,
Human Service Center,1924 SW Adams ST,688,Sufficient,24.57
,"Peoria, IL 61605",,,
Humana Guidance Center,2601 W Lake AVE,514,Sufficient,29.58
,#A3,,,
,"Peoria, IL 61614",,,
Hunzeker Service Agency,8720 N University ST,0,Insufficient,0
,"Peoria, IL 61614",,,
Hurlbult House,818 W Hurlburt ST,2700,Insufficient,28.67
,"Peoria, IL 61605",,,
Hutchison Engineering,2015 W Glen AVE,1403,Insufficient,26.03
,#210,,,
,"Peoria, IL 61614",,,
Hy-Vee Convienence Gas Station,5421 W War Memorial DR,805,Sufficient,28.6
,"Peoria, IL 61604",,,
Hy-Vee Market Grill,7610 N Orange Prairie RD,509,Sufficient,29.7
,"Peoria, IL 61615",,,
HyVee,4125 N Sheridan RD,2062,Insufficient,34.1
,#20,,,
,"Peoria, IL 61614",,,
Hyvee,7610 N Orange Prairie RD,2160,Insufficient,34.1
,"Peoria, IL 61615",,,
I-Talk & Repairs,2200 W War Memorial DR,227,Sufficient,29.46
,#AU09,,,
,"Peoria, IL 61613",,,
Ideal Troy Cleaners,622 W lake AVE,285,Sufficient,30.19
,"peoria, IL 61614",,,
Illinois Neurological Institute,5009 N Glen Park PL,838,Sufficient,33.73
,"Peoria, IL 61614",,,
Illinois Valley Glass,3300 NE Adams ST,2053,Sufficient,31.41
,"Peoria, IL 61603",,,
In-N-Out Grocery & Liquor,305 Wayne ST,1653,Sufficient,29.58
,"Peoria, IL 61603",,,
Industry Brewing Company,8012 N Hale AVE,1115,Sufficient,28.11
,"Peoria, IL 61615",,,
Ironwood Homes,7227 N University ST,882,Sufficient,33.86
,"Peoria, IL 61614",,,
IT 360,4501 N Sterling AVE,944,Sufficient,28.11
,#105,,,
,"Peoria, IL 61615",,,
Jackpot Super Market,200 N Mac Arthur HWY,739,Sufficient,33
,"Peoria, IL 61605",,,
Jalapenos,4700 N University ST,1207,Sufficient,37.16
,#3,,,
,"Peoria, IL 61614",,,
James Robert All State Agent,1424 W Glen AVE,612,Sufficient,23.1
,"peoria, IL 61614",,,
Jamieson School,2721 W Richwoods BLVD,1820,Insufficient,29.33
,"Peoria, IL 61604",,,
JAYLAS BOUTIQUE,4921 N SHERIDAN,0,Insufficient,0
,"Peoria, IL 61614",,,
JC Penney,2200 W War Memorial DR,4117,Insufficient,35.81
,#997,,,
,"Peoria, IL 61613",,,
JD Byrider,1613 W Pioneer PKY,0,Insufficient,0
,"Peoria, IL 61615",,,
Jeff Burtis State Farm,604 E war memorial DR,427,Sufficient,32.14
,"peoria, IL 61614",,,
jehovah's witness kingdom hall,6007 N Big Hollow RD,1148,Sufficient,26.77
,"Peoria, IL 61614",,,
Jenerations Hair Salon,1301 W Pioneer PKY,0,Insufficient,0
,#101,,,
,"Peoria, IL 61615",,,
Jim's Steak House,110 SW Jefferson AVE,558,Sufficient,33
,"Peoria, IL 61603",,,
Jimmie's Lock Shop,2238 W Glen,593,Insufficient,21.14
,"peoria, IL 61614",,,
Jimmy C's,2509 N Sheridan RD,1273,Insufficient,43.14
,"Peoria, IL 61614",,,
Jimmy Jazz,2200 W War Memorial DR,432,Sufficient,30.56
,#AL06A,,,
,"Peoria, IL 61613",,,
JIMMY JOHN'S,8516 N Knoxville AVE,208,Insufficient,36.67
,"Peoria, IL 61615",,,
Jimmy John's,208 SW Adams ST,360,Sufficient,33.47
,"Peoria, IL 61603",,,
Jimmy Johns,1121 W main ST,833,Sufficient,29.33
,"peoria, IL 61606",,,
Joan's Trophy and Plaque,508 NE Jefferson AVE,1010,Sufficient,39.87
,"Peoria, IL 61603",,,
Jody Kelly OB/GYN,2901 N Knoxville AVE,805,Sufficient,29.21
,"Peoria, IL 61603",,,
Johnny Vig's Lounge,4700 N University ST,624,Sufficient,35.2
,#15,,,
,"Peoria, IL 61614",,,
johnson family practice,3227 N prospect RD,337,Sufficient,29.94
,"peoria, IL 61603",,,
jones sewing machine co.,3410 N prospect RD,459,Sufficient,32.14
,"peoria, IL 61603",,,
Journeys,2200 W War Memorial DR,301,Sufficient,30.56
,#AU06,,,
,"Peoria, IL 61613",,,
Judy's Barber Shop,4311 N Sheridan RD,726,Sufficient,33.12
,"Peoria, IL 61614",,,
Justice,2200 W War Memorial DR,441,Sufficient,30.56
,#C102,,,
,"Peoria, IL 61613",,,
Kallister Reality,512 W main ST,1138,Insufficient,38.13
,"Peoria, IL 61606",,,
Kappa Delta,1514 W Fredonia AVE,1160,Insufficient,23.33
,"Peoria, IL 61606",,,
Kay Jewelers,2200 W War Memorial DR,284,Sufficient,29.46
,#DU15A,,,
,"Peoria, IL 61613",,,
Keen Tile,8224 N University ST,0,Insufficient,0
,"Peoria, IL 61614",,,
Kellar School,6413 N Mt. Hawley RD,1153,Insufficient,30.43
,"Peoria, IL 61614",,,
Kelleher's Irish Pub & Eatery,619 SW Water ST,455,Sufficient,31.9
,#G,,,
,"Peoria, IL 61603",,,
Kelly Seed & Hardware Co.,202 Hamilton BLVD,1922,Sufficient,38.93
,"Peoria, IL 61602",,,
Kemper Express,920 N Garfield AVE,465,Sufficient,32.27
,"Peoria, IL 61606",,,
Kern Optometric,4408 N Knoxville AVE,1394,Insufficient,0
,#c,,,
,"Peoria, IL 61614",,,
Khaki Jacks,7221 N Allen RD,697,Sufficient,36.3
,"Peoria, IL 61615",,,
Kickback on Fulton,456 Fulton ST,249,Sufficient,31.9
,#105,,,
,"Peoria, IL 61602",,,
Knoxville Center for Student Success,2628 N Knoxville AVE,1238,Insufficient,30.43
,"Peoria, IL 61603",,,
Knoxville Food Mart,2300 N Knoxville AVE,228,Sufficient,25.3
,"Peoria, IL 61603",,,
Kouri's Pub,4421 N Sterling AVE,1708,Insufficient,29.7
,"Peoria, IL 61604",,,
Kroger,2321 N Wisconsin AVE,2546,Insufficient,37.4
,"Peoria, IL 61603",,,
Kroger,3311 N Sterling AVE,1577,Insufficient,32.63
,"Peoria, IL 61604",,,
Kroger,9219 N Lindbergh DR,1689,Sufficient,28.6
,"Peoria, IL 61615",,,
Kroger,801 W Lake AVE,1972,Sufficient,26.4
,"Peoria, IL 61614",,,
LA Connection,1219 S Western AVE,935,Sufficient,35.44
,"Peoria, IL 61605",,,
La Favorita,1621 N Knoxville AVE,1207,Sufficient,32.76
,"Peoria, IL 61603",,,
Lakeview Aquatic Center,1017 W Lake AVE,197,Sufficient,23.83
,"Peoria, IL 61614",,,
